
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 101, 101]
[1][2, (0,1), 0, E, 1, 100, 102]
[2][5, (0,2), 1, E, 2, 99, 104]
[4][7, (0,3), 2, E, 3, 98, 105]
[6][9, (0,4), 4, E, 4, 97, 106]
[12][11, (0,5), 6, E, 5, 96, 107]
[19][14, (0,6), 12, E, 6, 95, 109]
[48][16, (0,7), 19, E, 7, 94, 110]
[73][18, (0,8), 48, E, 8, 93, 111]
[81][19, (0,9), 73, E, 9, 92, 111]
[84][22, (0,10), 81, E, 10, 91, 113]
[130][23, (0,11), 84, E, 11, 90, 113]
[133][24, (1,11), 130, S, 12, 89, 113]
[144][25, (1,12), 133, E, 13, 88, 113]
[148][28, (1,13), 144, E, 14, 87, 115]
[207][30, (0,13), 148, N, 15, 88, 118]
[394][32, (0,14), 207, E, 16, 87, 119]
[422][33, (0,15), 394, E, 17, 86, 119]
[425][36, (0,16), 422, E, 18, 85, 121]
[564][37, (0,17), 425, E, 19, 84, 121]
[566][38, (0,18), 564, E, 20, 83, 121]
[569][39, (0,19), 566, E, 21, 82, 121]
[572][41, (0,20), 569, E, 22, 81, 122]
[651][43, (1,20), 572, S, 23, 80, 123]
[706][44, (2,20), 651, S, 24, 79, 123]
[711][45, (2,21), 706, E, 25, 78, 123]
[715][46, (2,22), 711, E, 26, 77, 123]
[720][47, (3,22), 715, S, 27, 76, 123]
[735][49, (4,22), 720, S, 28, 75, 124]
[833][51, (4,23), 735, E, 29, 74, 125]
[915][52, (4,24), 833, E, 30, 73, 125]
[919][53, (5,24), 915, S, 31, 72, 125]
[932][55, (5,25), 919, E, 32, 71, 126]
[1123][57, (5,26), 932, E, 33, 70, 127]
[1253][58, (5,27), 1123, E, 34, 69, 127]
[1257][59, (5,28), 1253, E, 35, 68, 127]
[1261][60, (6,28), 1257, S, 36, 67, 127]
[1276][61, (7,28), 1261, S, 37, 66, 127]
[1293][62, (8,28), 1276, S, 38, 65, 127]
[1314][63, (9,28), 1293, S, 39, 64, 127]
[1328][65, (10,28), 1314, S, 40, 63, 128]
[1530][66, (11,28), 1328, S, 41, 62, 128]
[1546][67, (12,28), 1530, S, 42, 61, 128]
[1556][69, (13,28), 1546, S, 43, 60, 129]
[1755][70, (14,28), 1556, S, 44, 59, 129]
[1776][72, (15,28), 1755, S, 45, 58, 130]
[1966][73, (15,29), 1776, E, 46, 57, 130]
[1969][75, (16,29), 1966, S, 47, 56, 131]
[2141][76, (16,30), 1969, E, 48, 55, 131]
[2146][79, (17,30), 2141, S, 49, 54, 133]
[2535][80, (18,30), 2146, S, 50, 53, 133]
[2562][81, (19,30), 2535, S, 51, 52, 133]
[2580][82, (20,30), 2562, S, 52, 51, 133]
[2612][83, (21,30), 2580, S, 53, 50, 133]
[2638][84, (22,30), 2612, S, 54, 49, 133]
[2666][85, (22,31), 2638, E, 55, 48, 133]
[2670][86, (22,32), 2666, E, 56, 47, 133]
[2674][87, (22,33), 2670, E, 57, 46, 133]
[2679][88, (23,33), 2674, S, 58, 45, 133]
[2711][89, (24,33), 2679, S, 59, 44, 133]
[2761][91, (24,34), 2711, E, 60, 43, 134]
[2873][93, (24,35), 2761, E, 61, 42, 135]
[3120][96, (25,35), 2873, S, 62, 41, 137]
[3550][97, (26,35), 3120, S, 63, 40, 137]
[3585][98, (27,35), 3550, S, 64, 39, 137]
[3615][100, (28,35), 3585, S, 65, 38, 138]
[3794][102, (29,35), 3615, S, 66, 37, 139]
[4060][103, (29,36), 3794, E, 67, 36, 139]
[4063][105, (29,37), 4060, E, 68, 35, 140]
[4272][106, (29,38), 4063, E, 69, 34, 140]
[4276][107, (29,39), 4272, E, 70, 33, 140]
[4280][109, (29,40), 4276, E, 71, 32, 141]
[4511][110, (29,41), 4280, E, 72, 31, 141]
[4515][111, (30,41), 4511, S, 73, 30, 141]
[4541][112, (30,42), 4515, E, 74, 29, 141]
[4544][115, (31,42), 4541, S, 75, 28, 143]
[5164][116, (32,42), 4544, S, 76, 27, 143]
[5196][117, (33,42), 5164, S, 77, 26, 143]
[5220][120, (33,43), 5196, E, 78, 25, 145]
[5863][121, (34,43), 5220, S, 79, 24, 145]
[5899][122, (35,43), 5863, S, 80, 23, 145]
[5933][123, (36,43), 5899, S, 81, 22, 145]
[5962][124, (36,44), 5933, E, 82, 21, 145]
[5966][125, (37,44), 5962, S, 83, 20, 145]
[6004][126, (37,45), 5966, E, 84, 19, 145]
[6007][127, (37,46), 6004, E, 85, 18, 145]
[6012][129, (38,46), 6007, S, 86, 17, 146]
[6315][131, (38,47), 6012, E, 87, 16, 147]
[6716][132, (39,47), 6315, S, 88, 15, 147]
[6751][133, (39,48), 6716, E, 89, 14, 147]
[6755][135, (40,48), 6751, S, 90, 13, 148]
[7022][136, (40,49), 6755, E, 91, 12, 148]
[7027][137, (41,49), 7022, S, 92, 11, 148]
[7064][139, (41,50), 7027, E, 93, 10, 149]
[7318][141, (41,51), 7064, E, 94, 9, 150]
[7527][143, (41,52), 7318, E, 95, 8, 151]
[7688][144, (41,53), 7527, E, 96, 7, 151]
[7691][147, (42,53), 7688, S, 97, 6, 153]
[8008][148, (43,53), 7691, S, 98, 5, 153]
[8035][151, (43,54), 8008, E, 99, 4, 155]
[8289][154, (44,54), 8035, S, 100, 3, 157]
[8388][155, (44,55), 8289, E, 101, 2, 157]
[8391][156, (45,55), 8388, S, 102, 1, 157]
[8398][160, (46,55), 8391, S, 103, 0, 160]
