
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 99, 0]
[1][1, (1,0), 0, S, 1, 98, 1]
[4][2, (2,0), 1, S, 2, 97, 2]
[7][4, (3,0), 4, S, 3, 96, 4]
[13][7, (4,0), 7, S, 4, 95, 7]
[28][8, (5,0), 13, S, 5, 94, 8]
[31][9, (6,0), 28, S, 6, 93, 9]
[35][10, (6,1), 31, E, 7, 92, 10]
[50][12, (6,2), 35, E, 8, 91, 12]
[69][14, (6,3), 50, E, 9, 90, 14]
[99][15, (6,4), 69, E, 10, 89, 15]
[113][16, (7,4), 99, S, 11, 88, 16]
[136][18, (7,5), 113, E, 12, 87, 18]
[165][20, (7,6), 136, E, 13, 86, 20]
[213][21, (7,7), 165, E, 14, 85, 21]
[239][22, (7,8), 213, E, 15, 84, 22]
[272][23, (7,9), 239, E, 16, 83, 23]
[301][25, (7,10), 272, E, 17, 82, 25]
[380][27, (7,11), 301, E, 18, 81, 27]
[423][28, (7,12), 380, E, 19, 80, 28]
[465][29, (7,13), 423, E, 20, 79, 29]
[495][30, (7,14), 465, E, 21, 78, 30]
[537][31, (8,14), 495, S, 22, 77, 31]
[587][33, (8,15), 537, E, 23, 76, 33]
[660][35, (9,15), 587, S, 24, 75, 35]
[738][36, (10,15), 660, S, 25, 74, 36]
[777][37, (11,15), 738, S, 26, 73, 37]
[816][38, (12,15), 777, S, 27, 72, 38]
[869][39, (12,16), 816, E, 28, 71, 39]
[918][40, (12,17), 869, E, 29, 70, 40]
[958][43, (13,17), 918, S, 30, 69, 43]
[1065][46, (13,18), 958, E, 31, 68, 46]
[1231][47, (14,18), 1065, S, 32, 67, 47]
[1297][48, (14,19), 1231, E, 33, 66, 48]
[1359][49, (14,20), 1297, E, 34, 65, 49]
[1421][50, (15,20), 1359, S, 35, 64, 50]
[1481][51, (16,20), 1421, S, 36, 63, 51]
[1541][52, (17,20), 1481, S, 37, 62, 52]
[1603][54, (17,21), 1541, E, 38, 61, 54]
[1706][55, (17,22), 1603, E, 39, 60, 55]
[1803][57, (17,23), 1706, E, 40, 59, 57]
[1945][58, (17,24), 1803, E, 41, 58, 58]
[2011][59, (17,25), 1945, E, 42, 57, 59]
[2104][60, (17,26), 2011, E, 43, 56, 60]
[2167][61, (17,27), 2104, E, 44, 55, 61]
[2241][62, (18,27), 2167, S, 45, 54, 62]
[2315][65, (18,28), 2241, E, 46, 53, 65]
[2567][66, (18,29), 2315, E, 47, 52, 66]
[2667][67, (19,29), 2567, S, 48, 51, 67]
[2746][70, (20,29), 2667, S, 49, 50, 70]
[2992][71, (21,29), 2746, S, 50, 49, 71]
[3064][72, (21,30), 2992, E, 51, 48, 72]
[3173][73, (21,31), 3064, E, 52, 47, 73]
