
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 109, 109]
[2][1, (1,0), 0, S, 1, 108, 109]
[4][3, (2,0), 2, S, 2, 107, 110]
[7][4, (3,0), 4, S, 3, 106, 110]
[13][6, (3,1), 7, E, 4, 105, 111]
[20][8, (3,2), 13, E, 5, 104, 112]
[42][10, (3,3), 20, E, 6, 103, 113]
[56][12, (3,4), 42, E, 7, 102, 114]
[66][14, (4,4), 56, S, 8, 101, 115]
[77][15, (5,4), 66, S, 9, 100, 115]
[84][17, (6,4), 77, S, 10, 99, 116]
[93][18, (6,5), 84, E, 11, 98, 116]
[97][19, (7,5), 93, S, 12, 97, 116]
[105][21, (8,5), 97, S, 13, 96, 117]
[131][22, (8,6), 105, E, 14, 95, 117]
[134][23, (8,7), 131, E, 15, 94, 117]
[138][24, (8,8), 134, E, 16, 93, 117]
[142][27, (8,9), 138, E, 17, 92, 119]
[260][29, (8,10), 142, E, 18, 91, 120]
[297][33, (8,11), 260, E, 19, 90, 123]
[502][34, (8,12), 297, E, 20, 89, 123]
[505][35, (8,13), 502, E, 21, 88, 123]
[508][36, (8,14), 505, E, 22, 87, 123]
[511][38, (8,15), 508, E, 23, 86, 124]
[557][39, (9,15), 511, S, 24, 85, 124]
[563][41, (9,16), 557, E, 25, 84, 125]
[619][43, (10,16), 563, S, 26, 83, 126]
[671][46, (10,17), 619, E, 27, 82, 128]
[854][48, (10,18), 671, E, 28, 81, 129]
[951][49, (11,18), 854, S, 29, 80, 129]
[958][51, (12,18), 951, S, 30, 79, 130]
[1062][52, (12,19), 958, E, 31, 78, 130]
[1065][53, (12,20), 1062, E, 32, 77, 130]
[1070][54, (13,20), 1065, S, 33, 76, 130]
[1078][56, (14,20), 1070, S, 34, 75, 131]
[1165][58, (14,21), 1078, E, 35, 74, 132]
[1267][59, (14,22), 1165, E, 36, 73, 132]
[1271][60, (14,23), 1267, E, 37, 72, 132]
[1275][61, (14,24), 1271, E, 38, 71, 132]
[1279][62, (14,25), 1275, E, 39, 70, 132]
[1284][64, (15,25), 1279, S, 40, 69, 133]
[1402][66, (16,25), 1284, S, 41, 68, 134]
[1507][67, (16,26), 1402, E, 42, 67, 134]
[1511][68, (17,26), 1507, S, 43, 66, 134]
[1521][74, (18,26), 1511, S, 44, 65, 139]
[1962][75, (19,26), 1521, S, 45, 64, 139]
[1981][79, (20,26), 1962, S, 46, 63, 142]
[2274][80, (20,27), 1981, E, 47, 62, 142]
[2277][81, (20,28), 2274, E, 48, 61, 142]
[2280][82, (20,29), 2277, E, 49, 60, 142]
[2284][83, (21,29), 2280, S, 50, 59, 142]
[2302][85, (22,29), 2284, S, 51, 58, 143]
[2448][86, (22,30), 2302, E, 52, 57, 143]
[2451][87, (23,30), 2448, S, 53, 56, 143]
[2472][89, (24,30), 2451, S, 54, 55, 144]
[2662][91, (25,30), 2472, S, 55, 54, 145]
[2797][93, (26,30), 2662, S, 56, 53, 146]
[2933][94, (26,31), 2797, E, 57, 52, 146]
[2935][97, (26,32), 2933, E, 58, 51, 148]
[3139][98, (26,33), 2935, E, 59, 50, 148]
[3142][99, (27,33), 3139, S, 60, 49, 148]
[3156][101, (28,33), 3142, S, 61, 48, 149]
[3309][102, (28,34), 3156, E, 62, 47, 149]
[3312][103, (28,35), 3309, E, 63, 46, 149]
[3316][104, (28,36), 3312, E, 64, 45, 149]
[3319][105, (28,37), 3316, E, 65, 44, 149]
[3323][106, (29,37), 3319, S, 66, 43, 149]
[3347][108, (30,37), 3323, S, 67, 42, 150]
[3442][109, (30,38), 3347, E, 68, 41, 150]
[3445][110, (31,38), 3442, S, 69, 40, 150]
[3451][112, (31,39), 3445, E, 70, 39, 151]
[3661][114, (32,39), 3451, S, 71, 38, 152]
[3827][115, (32,40), 3661, E, 72, 37, 152]
[3831][116, (32,41), 3827, E, 73, 36, 152]
[3835][117, (32,42), 3831, E, 74, 35, 152]
[3839][118, (32,43), 3835, E, 75, 34, 152]
[3843][119, (33,43), 3839, S, 76, 33, 152]
[3863][121, (34,43), 3843, S, 77, 32, 153]
[4034][122, (34,44), 3863, E, 78, 31, 153]
[4038][123, (34,45), 4034, E, 79, 30, 153]
[4042][124, (34,46), 4038, E, 80, 29, 153]
[4045][126, (34,47), 4042, E, 81, 28, 154]
[4258][129, (35,47), 4045, S, 82, 27, 156]
