
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 109, 1]
[2][3, (0,1), 0, E, 1, 108, 0.5]
[5][4, (0,2), 2, E, 2, 107, 0.3333333333333333]
[7][6, (0,3), 5, E, 3, 106, 0.25]
[9][7, (1,3), 7, S, 4, 105, 0.2]
[11][11, (1,2), 9, O, 5, 106, 0.16666666666666666]
[13][13, (1,1), 11, O, 6, 107, 0.14285714285714285]
[16][14, (2,1), 13, S, 7, 106, 0.125]
[19][15, (2,0), 16, O, 8, 107, 0.1111111111111111]
[22][16, (3,0), 19, S, 9, 106, 0.1]
[28][17, (3,1), 22, E, 10, 105, 0.09090909090909091]
[31][18, (3,2), 28, E, 11, 104, 0.08333333333333333]
[34][19, (3,3), 31, E, 12, 103, 0.07692307692307693]
[35][21, (2,3), 34, N, 13, 104, 0.07142857142857142]
[40][22, (2,4), 35, E, 14, 103, 0.06666666666666667]
[41][23, (1,4), 40, N, 15, 104, 0.0625]
[45][26, (0,4), 41, N, 16, 105, 0.058823529411764705]
[49][27, (0,5), 45, E, 17, 104, 0.05555555555555555]
[52][31, (0,6), 49, E, 18, 103, 0.05263157894736842]
[55][34, (0,7), 52, E, 19, 102, 0.05]
[58][37, (0,8), 55, E, 20, 101, 0.047619047619047616]
[61][38, (0,9), 58, E, 21, 100, 0.045454545454545456]
[63][41, (0,10), 61, E, 22, 99, 0.043478260869565216]
[66][42, (0,11), 63, E, 23, 98, 0.041666666666666664]
[69][43, (0,12), 66, E, 24, 97, 0.04]
[71][44, (1,12), 69, S, 25, 96, 0.038461538461538464]
[75][47, (1,11), 71, O, 26, 97, 0.037037037037037035]
[79][48, (1,10), 75, O, 27, 98, 0.03571428571428571]
[83][50, (1,9), 79, O, 28, 99, 0.034482758620689655]
[86][52, (1,8), 83, O, 29, 100, 0.03333333333333333]
[90][53, (1,7), 86, O, 30, 101, 0.03225806451612903]
[94][57, (1,6), 90, O, 31, 102, 0.03125]
[98][60, (1,5), 94, O, 32, 103, 0.030303030303030304]
[102][62, (2,5), 98, S, 33, 102, 0.029411764705882353]
[107][66, (2,6), 102, E, 34, 101, 0.02857142857142857]
[111][67, (2,7), 107, E, 35, 100, 0.027777777777777776]
[115][68, (2,8), 111, E, 36, 99, 0.02702702702702703]
[119][69, (2,9), 115, E, 37, 98, 0.02631578947368421]
[123][70, (2,10), 119, E, 38, 97, 0.02564102564102564]
[127][74, (2,11), 123, E, 39, 96, 0.025]
[130][75, (3,11), 127, S, 40, 95, 0.024390243902439025]
[132][76, (3,10), 130, O, 41, 96, 0.023809523809523808]
[135][77, (3,9), 132, O, 42, 97, 0.023255813953488372]
[139][78, (4,9), 135, S, 43, 96, 0.022727272727272728]
[142][81, (4,8), 139, O, 44, 97, 0.022222222222222223]
[145][83, (3,8), 142, N, 45, 98, 0.021739130434782608]
[150][84, (3,7), 145, O, 46, 99, 0.02127659574468085]
[153][87, (3,6), 150, O, 47, 100, 0.020833333333333332]
[157][89, (4,6), 153, S, 48, 99, 0.02040816326530612]
[161][93, (4,7), 157, E, 49, 98, 0.02]
[164][94, (5,7), 161, S, 50, 97, 0.0196078431372549]
[167][96, (5,6), 164, O, 51, 98, 0.019230769230769232]
[171][98, (6,6), 167, S, 52, 97, 0.018867924528301886]
[174][99, (6,5), 171, O, 53, 98, 0.018518518518518517]
[176][101, (5,5), 174, N, 54, 99, 0.01818181818181818]
[180][104, (4,5), 176, N, 55, 100, 0.017857142857142856]
[183][106, (3,5), 180, N, 56, 101, 0.017543859649122806]
[187][107, (3,4), 183, O, 57, 102, 0.017241379310344827]
[191][108, (4,4), 187, S, 58, 101, 0.01694915254237288]
[194][109, (5,4), 191, S, 59, 100, 0.016666666666666666]
[197][112, (5,3), 194, O, 60, 101, 0.01639344262295082]
[200][116, (4,3), 197, N, 61, 102, 0.016129032258064516]
[205][118, (4,2), 200, O, 62, 103, 0.015873015873015872]
[208][119, (4,1), 205, O, 63, 104, 0.015625]
[212][120, (4,0), 208, O, 64, 105, 0.015384615384615385]
[216][122, (5,0), 212, S, 65, 104, 0.015151515151515152]
[220][123, (5,1), 216, E, 66, 103, 0.014925373134328358]
[224][127, (5,2), 220, E, 67, 102, 0.014705882352941176]
[227][131, (6,2), 224, S, 68, 101, 0.014492753623188406]
[230][134, (6,1), 227, O, 69, 102, 0.014285714285714285]
[234][135, (7,1), 230, S, 70, 101, 0.014084507042253521]
[237][138, (7,0), 234, O, 71, 102, 0.013888888888888888]
[240][141, (8,0), 237, S, 72, 101, 0.0136986301369863]
[244][142, (8,1), 240, E, 73, 100, 0.013513513513513514]
[248][144, (8,2), 244, E, 74, 99, 0.013333333333333334]
[249][145, (7,2), 248, N, 75, 100, 0.013157894736842105]
[256][149, (7,3), 249, E, 76, 99, 0.012987012987012988]
[259][151, (7,4), 256, E, 77, 98, 0.01282051282051282]
[262][152, (7,5), 259, E, 78, 97, 0.012658227848101266]
[269][155, (7,6), 262, E, 79, 96, 0.0125]
