
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 103, 103]
[1][1, (1,0), 0, S, 1, 102, 102]
[3][4, (1,1), 1, E, 2, 101, 101]
[6][5, (1,2), 3, E, 3, 100, 100]
[10][8, (2,2), 6, S, 4, 99, 99]
[13][12, (2,3), 10, E, 5, 98, 98]
[15][14, (2,4), 13, E, 6, 97, 97]
[19][15, (2,5), 15, E, 7, 96, 96]
[23][18, (2,6), 19, E, 8, 95, 95]
[26][19, (2,7), 23, E, 9, 94, 94]
[30][21, (2,8), 26, E, 10, 93, 93]
[34][24, (2,9), 30, E, 11, 92, 92]
[38][25, (2,10), 34, E, 12, 91, 91]
[41][28, (2,11), 38, E, 13, 90, 90]
[45][30, (2,12), 41, E, 14, 89, 89]
[49][31, (2,13), 45, E, 15, 88, 88]
[53][32, (2,14), 49, E, 16, 87, 87]
[57][35, (2,15), 53, E, 17, 86, 86]
[60][37, (2,16), 57, E, 18, 85, 85]
[63][39, (2,17), 60, E, 19, 84, 84]
[67][41, (2,18), 63, E, 20, 83, 83]
[71][43, (2,19), 67, E, 21, 82, 82]
[75][45, (2,20), 71, E, 22, 81, 81]
[78][46, (2,21), 75, E, 23, 80, 80]
[82][47, (2,22), 78, E, 24, 79, 79]
[85][48, (2,23), 82, E, 25, 78, 78]
[89][51, (2,24), 85, E, 26, 77, 77]
[93][52, (2,25), 89, E, 27, 76, 76]
[96][53, (2,26), 93, E, 28, 75, 75]
[100][54, (2,27), 96, E, 29, 74, 74]
[104][55, (2,28), 100, E, 30, 73, 73]
[108][57, (2,29), 104, E, 31, 72, 72]
[112][58, (2,30), 108, E, 32, 71, 71]
[115][59, (2,31), 112, E, 33, 70, 70]
[119][60, (2,32), 115, E, 34, 69, 69]
[122][62, (3,32), 119, S, 35, 68, 68]
[125][63, (3,33), 122, E, 36, 67, 67]
[129][65, (3,34), 125, E, 37, 66, 66]
[133][67, (3,35), 129, E, 38, 65, 65]
[137][70, (3,36), 133, E, 39, 64, 64]
[141][71, (3,37), 137, E, 40, 63, 63]
[145][72, (3,38), 141, E, 41, 62, 62]
[149][73, (3,39), 145, E, 42, 61, 61]
[153][75, (3,40), 149, E, 43, 60, 60]
[156][76, (3,41), 153, E, 44, 59, 59]
[160][77, (4,41), 156, S, 45, 58, 58]
[163][79, (4,42), 160, E, 46, 57, 57]
[165][80, (4,43), 163, E, 47, 56, 56]
[170][81, (5,43), 165, S, 48, 55, 55]
[175][83, (5,44), 170, E, 49, 54, 54]
[178][84, (6,44), 175, S, 50, 53, 53]
[181][88, (7,44), 178, S, 51, 52, 52]
[184][89, (7,43), 181, O, 52, 53, 53]
[187][90, (7,42), 184, O, 53, 54, 54]
[194][91, (8,42), 187, S, 54, 53, 53]
[197][93, (8,43), 194, E, 55, 52, 52]
[200][94, (8,44), 197, E, 56, 51, 51]
[203][97, (9,44), 200, S, 57, 50, 50]
[206][98, (10,44), 203, S, 58, 49, 49]
[209][99, (11,44), 206, S, 59, 48, 48]
[211][101, (12,44), 209, S, 60, 47, 47]
[214][104, (13,44), 211, S, 61, 46, 46]
[217][105, (14,44), 214, S, 62, 45, 45]
[220][109, (15,44), 217, S, 63, 44, 44]
[222][110, (16,44), 220, S, 64, 43, 43]
[225][111, (17,44), 222, S, 65, 42, 42]
[228][113, (18,44), 225, S, 66, 41, 41]
[231][114, (19,44), 228, S, 67, 40, 40]
[234][116, (20,44), 231, S, 68, 39, 39]
[237][117, (21,44), 234, S, 69, 38, 38]
[240][120, (21,43), 237, O, 70, 39, 39]
[243][121, (22,43), 240, S, 71, 38, 38]
[247][122, (23,43), 243, S, 72, 37, 37]
[255][123, (24,43), 247, S, 73, 36, 36]
[258][124, (25,43), 255, S, 74, 35, 35]
[261][125, (25,44), 258, E, 75, 34, 34]
[265][126, (26,44), 261, S, 76, 33, 33]
[268][128, (27,44), 265, S, 77, 32, 32]
[270][129, (27,43), 268, O, 78, 33, 33]
[273][132, (28,43), 270, S, 79, 32, 32]
[277][135, (29,43), 273, S, 80, 31, 31]
[285][138, (30,43), 277, S, 81, 30, 30]
[288][141, (30,44), 285, E, 82, 29, 29]
[291][144, (31,44), 288, S, 83, 28, 28]
[294][145, (32,44), 291, S, 84, 27, 27]
[297][147, (33,44), 294, S, 85, 26, 26]
[299][148, (33,43), 297, O, 86, 27, 27]
[302][149, (34,43), 299, S, 87, 26, 26]
[304][153, (34,44), 302, E, 88, 25, 25]
[307][154, (35,44), 304, S, 89, 24, 24]
[310][155, (36,44), 307, S, 90, 23, 23]
[312][157, (37,44), 310, S, 91, 22, 22]
[315][159, (38,44), 312, S, 92, 21, 21]
[318][160, (38,43), 315, O, 93, 22, 22]
[321][164, (39,43), 318, S, 94, 21, 21]
[324][166, (39,44), 321, E, 95, 20, 20]
[327][170, (40,44), 324, S, 96, 19, 19]
[330][172, (41,44), 327, S, 97, 18, 18]
[333][173, (42,44), 330, S, 98, 17, 17]
[335][174, (43,44), 333, S, 99, 16, 16]
[338][175, (44,44), 335, S, 100, 15, 15]
[341][176, (45,44), 338, S, 101, 14, 14]
[344][177, (46,44), 341, S, 102, 13, 13]
[348][178, (46,43), 344, O, 103, 14, 14]
[352][179, (47,43), 348, S, 104, 13, 13]
[355][180, (48,43), 352, S, 105, 12, 12]
[358][182, (48,44), 355, E, 106, 11, 11]
[360][185, (49,44), 358, S, 107, 10, 10]
[363][187, (49,43), 360, O, 108, 11, 11]
[365][188, (50,43), 363, S, 109, 10, 10]
[367][190, (50,44), 365, E, 110, 9, 9]
[369][193, (51,44), 367, S, 111, 8, 8]
[372][194, (52,44), 369, S, 112, 7, 7]
[375][195, (53,44), 372, S, 113, 6, 6]
[377][198, (54,44), 375, S, 114, 5, 5]
[380][201, (55,44), 377, S, 115, 4, 4]
[383][204, (56,44), 380, S, 116, 3, 3]
[386][205, (57,44), 383, S, 117, 2, 2]
[389][209, (58,44), 386, S, 118, 1, 1]
[392][212, (59,44), 389, S, 119, 0, 0]
